"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_dist","age","(19.8,28.6]",9,-0.0278426040935337,8.76118867780189e-05,-0.0280143233916187,-0.0276708847954488
"ch_dist","age","(28.6,37.4]",9,-0.0263578679838824,7.39479550476667e-05,-0.0265028059757758,-0.026212929991989
"ch_dist","age","(37.4,46.2]",9,-0.0250185297217512,0.00014265909294366,-0.0252981415439207,-0.0247389178995816
"ch_dist","age","(46.2,55]",9,-0.0222462911860946,0.000585840431793778,-0.0233945384324104,-0.0210980439397788
"ch_dist","age","[11,19.8]",9,-0.0306814242726282,0.00018264986419757,-0.0310394180064554,-0.0303234305388009
"ch_peri","age","(19.8,28.6]",9,0.121216230511095,0.00114382900325399,0.118974325664717,0.123458135357473
"ch_peri","age","(28.6,37.4]",9,0.136432931380349,0.000842961211829752,0.134780727405162,0.138085135355535
"ch_peri","age","(37.4,46.2]",9,0.13585384492611,0.00147613216179084,0.132960625889,0.13874706396322
"ch_peri","age","(46.2,55]",9,0.129266687552198,0.0047847675174442,0.119888543218008,0.138644831886389
"ch_peri","age","[11,19.8]",9,0.106881211873976,0.0022472993682246,0.102476505112255,0.111285918635696
"ch_teach","age","(19.8,28.6]",9,0.0962905335493102,0.000854560960951163,0.0946155940658459,0.0979654730327745
"ch_teach","age","(28.6,37.4]",9,0.102277212583646,0.000775841138387831,0.100756563952405,0.103797861214886
"ch_teach","age","(37.4,46.2]",9,0.112182104735209,0.00122918099544914,0.109772909984129,0.11459129948629
"ch_teach","age","(46.2,55]",9,0.111227048063021,0.00379391020845986,0.10379098405444,0.118663112071602
"ch_teach","age","[11,19.8]",9,0.0998007265605023,0.00155807903857135,0.0967468916449025,0.102854561476102
"ch_csection","age","(19.8,28.6]",9,0.0207144048758698,0.000310869945909593,0.020105099781887,0.0213237099698526
"ch_csection","age","(28.6,37.4]",9,0.0280858753543095,0.00033551976031596,0.0274282566240902,0.0287434940845288
"ch_csection","age","(37.4,46.2]",9,0.0322265790840286,0.000539255785601346,0.03116963774425,0.0332835204238073
"ch_csection","age","(46.2,55]",9,0.0347761965143838,0.00148294473195674,0.0318696248397486,0.037682768189019
"ch_csection","age","[11,19.8]",9,0.0185601936656044,0.000531939452646956,0.0175175923384163,0.0196027949927924
